method,size50,size75,size100,size125,size150,size175,size200,size225,size250,size275,size300
robbins,4.445365237785088,7.432526139009209,3.056715209741854,3.0858596864879617,3.0151113214972662,3.6781229043086476,3.726730822165239,2.0971980878019103,2.0059945031460553,4.793450685528998,1.8824518676692628
npmle,0.22977215187344605,0.4078278968686032,0.08983435048656763,0.11189353283845326,0.17351982214534858,0.20675468227105048,0.454197698408197,0.1261724701816843,0.11604430872915973,0.32662119413963553,0.13959676973791948
sqH,0.26285073453664376,0.41317383913870814,0.20132666147164277,0.14012571912453842,0.313378390710129,0.3628042256154507,0.48877323731525363,0.21254828748556906,0.12079076750461326,0.42881446209357177,0.15691480583813644
chisq,0.2280821772081112,0.498596997289802,0.08363524751014491,0.1324964506001822,0.20734085181258496,0.19301254905736878,0.3762656737062282,0.10777803224374345,0.17924625798346652,0.39204478534542936,0.12759137851283273
robbins,4.691786500879093,3.5207655703523413,4.444041456710221,2.5015268680193006,2.943891512474571,2.714617597559418,1.3533008434787532,5.488999468013502,8.145583980188626,4.016929825623814,1.2100073313254374
npmle,0.15530886882450878,0.1653573808714296,0.2219584164070402,0.04802185616144677,0.2877843216624858,0.283766666499419,0.1337925269713673,0.3148033593495367,0.3548794640099285,0.24190150738165517,0.07456209982597822
sqH,0.29004284534764535,0.2915519828579823,0.32260795511526497,0.15519279519012086,0.21724094791386062,0.25121191778441854,0.0993135582506549,0.3533653561752807,0.41391357884192587,0.25414498892105175,0.17289562205265377
chisq,0.25308526694690126,0.18129823459920089,0.23479708119662646,0.05821598633492075,0.3679573767611206,0.36661720956760224,0.15576318450590607,0.2686156493765354,0.34548830623264704,0.23180446024059645,0.05742228934626066
robbins,3.1231526140330383,4.210951470194891,8.00335886306905,5.987373177420064,3.944869272451684,3.982816895029993,1.993769802435959,4.556737431784125,2.5784094488630567,5.869772699080209,1.356335333529909
npmle,0.3679659227123623,0.5270818853669657,0.19607845519006414,0.08583812432937774,0.22253438060231276,0.28083637173907405,0.19886415018382705,0.26014093333927313,0.2181746645094337,0.09757980165259499,0.13645339465605416
sqH,0.3734633883345284,0.453841572086824,0.11447986643377675,0.1931310038306804,0.3270095574213017,0.26703358660676024,0.2081677515303029,0.2861022245313877,0.17958017620364825,0.11481163822549174,0.25045446741360405
chisq,0.3788486239108365,0.6215049427760172,0.26436313038507664,0.07553998623502031,0.2344514190956348,0.3015271803387019,0.2027247577113414,0.2961756193937299,0.2797139411247145,0.10265890557462153,0.13029964698737845
robbins,3.4829620129937395,7.660936988358985,3.3330363580797626,2.5121248902004862,2.433174544898701,3.0303277266764126,1.9060209321852102,4.532999769228066,1.663369414118169,3.533613172852379,1.1024039290930154
