method,size50,size75,size100,size125,size150,size175,size200,size225,size250,size275,size300
robbins,0.10541874313393851,0.08670957376432589,0.10034518685237043,0.0911271659084813,0.11439170447457893,0.11656540730277287,0.10192277898905623,0.1002946748771441,0.1538622733363759,0.16057351427344743,0.18101548900012096
npmle,0.0631476421618953,0.06962810252517136,0.10483425063550826,0.08902434879828743,0.09375658659182562,0.12159201273934511,0.042361711265916056,0.08676967213834794,0.10156483580649396,0.16756861478073087,0.1583941581105005
sqH,0.07453355466900628,0.06967149240243915,0.11702341659069548,0.10788222271880976,0.10055957693901237,0.138328440511236,0.047122024062717635,0.10003808732026641,0.11757115671958279,0.08971608150855528,0.1747330811240938
chisq,0.052256463315744066,0.07853926514547957,0.09784928821333454,0.0809450193387615,0.0813459228126495,0.1140461858795961,0.03520775165769086,0.078093741980831,0.08770368062315194,0.16853030353355533,0.14577171442999973
robbins,0.07398536078668595,0.1792803450070793,0.2372326077085577,0.19885539918379966,0.283629115560215,0.1240463586990824,0.13839240161483538,0.13878024453418766,0.10302885024602948,0.07721605202344357,0.22145137568752138
npmle,0.05366721411050133,0.1547818134200208,0.14114096748559748,0.1383669889681754,0.14045912009600608,0.09535028696350695,0.12970423467134784,0.13264991560694123,0.07472380954555476,0.0576347253503237,0.21617720342379723
sqH,0.06183592420138682,0.08235316755175202,0.05393175093176324,0.14387506254064128,0.12124787775937927,0.06267735073008872,0.10312883001292328,0.1182809555151232,0.06843898422540014,0.06777459690707721,0.08535345591708944
chisq,0.06336331647032027,0.0892519054091933,0.06232231661108571,0.12198022421277119,0.11672328611246996,0.05085033299206838,0.10622268737610542,0.1213012409872903,0.05572588162461975,0.04934066738688548,0.061852780434178245
robbins,0.20071818812989295,0.13382174497590182,0.0848368834900678,0.09614245615936899,0.16082880213574835,0.15826204920964773,0.1161912606076837,0.26491841247666786,0.10598627843290122,0.14840219721809098,0.17608058117987382
npmle,0.150872980232751,0.1236801816396007,0.074043736226615,0.06260462439617538,0.1350704865244054,0.09913898415041883,0.11387975489803705,0.16506292026573507,0.10195355164188878,0.1316901723464336,0.1458905363286515
sqH,0.12830064809995684,0.08075067066992983,0.09489987145849227,0.07710682788532437,0.09991526317204676,0.09997835749167945,0.09843255619170177,0.13842700591293108,0.06953432474689347,0.11348635977535008,0.12653973712756478
chisq,0.13936057051444103,0.08779561304712882,0.05966207209039731,0.05499815008954517,0.10194087731973454,0.08111082051842482,0.10250902359773914,0.1503421795083012,0.07625848730827292,0.12610833206521951,0.13113144188709255
robbins,0.426673037016148,0.29745259438320515,0.20492284283450782,0.27723959954144634,0.2110675985549524,0.10033569717548965,0.11310073068210015,0.17005307745298537,0.14955280043035324,0.09431035136011055,0.0710037292928628
npmle,0.1335660593516824,0.09718495645696003,0.15595956474077968,0.12602995422734445,0.11560719291555926,0.08533688818187571,0.10836768900284431,0.1404038862421207,0.09242517647933067,0.07061863641199755,0.06363186542215611
sqH,0.07140152594964343,0.11768304614439884,0.10249146149492988,0.12112739282007719,0.0639858077993005,0.10167869778418602,0.11906012781373441,0.09765899854054556,0.103765114520311,0.08174586609517255,0.06131430969869605
chisq,0.1768069205201244,0.07732768335087821,0.1110806362814401,0.10229987209681905,0.04494458060668052,0.0780547311329217,0.10671107418512797,0.10025911923812894,0.0755014292939465,0.07125380362815083,0.05626081743339081
robbins,0.11659425163972865,0.11659425163972867,0.10034518685237043,0.2618943427829392,0.10198186565335637,0.1222850053055508,0.2802947267374969,0.3172636274856902,0.13168830932737388,0.10093762093312154,0.11392388278479525
npmle,0.10481374415453107,0.1048137768122777,0.10483409237505535,0.12633053002467523,0.09659561475018855,0.08220339846105862,0.10766661038496882,0.1260843503805311,0.12650713546781484,0.07354645581668422,0.1017813277425096
sqH,0.08619193671568169,0.08619192143826097,0.11702343166682354,0.15013952707941583,0.1072647511675409,0.08431722112039515,0.04865969897471814,0.14556125141477633,0.1143226678609724,0.05623583638277745,0.11263079379170397
